Average Degree,Average shortest path,Clustering coefficient,Katz Centrality,Between Centrality,Degree Centrality,Closeness Centrality,condition,Y
35.76209059,1.525297619,0.564980159,0.790795008,0.003926414,0.008472542,0.671188085,1,1
36.44309521,1.52281746,0.55406746,0.797967975,0.001737728,0.00843254,0.671338181,2,1
35.5747053,1.524801587,0.546626984,0.792931062,0.010644618,0.008464542,0.668428556,3,1
34.47557502,1.52827381,0.549603175,0.765341287,0.011501214,0.008520545,0.662120727,1,1
35.52567188,1.507440476,0.560515873,0.771246385,0.02380288,0.008184524,0.671611412,2,1
34.83575984,1.523809524,0.55406746,0.762430182,0.009281176,0.008448541,0.666527898,3,1
36.19381538,1.466973886,0.571940604,0.780458023,0.003049811,0.00765531,0.690033367,1,1
35.43203573,1.509920635,0.544642857,0.760884812,0.003852345,0.008224526,0.672796078,2,1
36.53110942,1.498719918,0.58218126,0.785467426,0.006250594,0.008175736,0.684945821,3,1
35.20852157,1.506944444,0.550595238,0.760910658,0.000330213,0.008176523,0.673760784,1,1
35.96130618,1.500496032,0.565972222,0.768731206,0.006866109,0.008072517,0.679483066,2,1
35.64375491,1.523313492,0.556547619,0.785256653,0.00367094,0.00844054,0.672717412,3,1
37.78547457,1.501984127,0.553075397,0.793617336,0.006777253,0.008096518,0.681670433,1,1
37.02503577,1.532738095,0.538194444,0.783740726,0.011551909,0.00859255,0.671060624,2,1
37.40779803,1.52281746,0.548115079,0.795966602,0.002478824,0.00843254,0.674182921,3,1
35.28413046,1.632872504,0.557091654,0.87920509,0.006038474,0.010374959,0.638671834,1,1
29.86450678,1.618720254,0.537810682,0.82477864,0.0095358,0.010312004,0.639197172,2,1
35.90630754,1.552088842,0.564780539,0.818375235,0.012817398,0.009201481,0.671552078,3,1
34.08824872,1.527281746,0.528769841,0.773054555,0.004802019,0.008504544,0.662642999,1,1
34.83566683,1.517361111,0.540178571,0.777955231,0.004680491,0.008344534,0.668302673,2,1
33.56467746,1.556051587,0.523313492,0.786541398,0.003363143,0.008968574,0.653772029,3,1
39.84637867,1.447916667,0.645833333,0.862392781,0.007819621,0.007224462,0.705788308,1,1
39.66104224,1.454861111,0.63343254,0.837438662,0.000942463,0.00733647,0.699935208,2,1
39.93165557,1.458333333,0.631944444,0.838298385,0.033816763,0.007392473,0.69827569,3,1
33.4706609,1.634408602,0.522273425,0.780307813,0.013561771,0.010400141,0.635542896,1,1
33.4809937,1.614439324,0.523809524,0.778794933,0.006035266,0.010072776,0.641858862,2,1
31.42739804,1.683531746,0.499007937,0.733261606,0.001210709,0.011024706,0.616541174,3,1
35.7404758,1.498015873,0.563492063,0.781388463,0.010491354,0.008032514,0.675751493,1,1
34.18445498,1.529761905,0.54265873,0.755302751,0.005498498,0.008544547,0.663009527,2,1
34.24739233,1.552579365,0.543650794,0.766950533,0.001735263,0.00891257,0.657697555,3,1
35.46874518,1.839781746,0.538690476,0.772427034,0.0042392,0.013544867,0.592176566,1,1
34.42425186,1.649801587,0.531746032,0.760192682,0.007871863,0.010480671,0.634755281,2,1
